placement,name,points, ,date,season
16,Tommy Ryan,"3,216", ,Sat Feb 20 10:37:29 2021,1
17,BunnyNorway,"3,190", ,Sat Feb 20 10:37:29 2021,1
18,Jesse McDermott,"3,165", ,Sat Feb 20 10:37:29 2021,1
19,Fabiano Angelo,"3,080", ,Sat Feb 20 10:37:29 2021,1
20,Alexboy,"2,895", ,Sat Feb 20 10:37:29 2021,1
21,Gareth mckevitt,"2,795", ,Sat Feb 20 10:37:29 2021,1
22,DarkWin44,"2,720", ,Sat Feb 20 10:37:29 2021,1
23,Anneli Madaj,"2,705", ,Sat Feb 20 10:37:29 2021,1
24,Fernando Nits,"2,700", ,Sat Feb 20 10:37:29 2021,1
25,Raymond Haukas,"2,683", ,Sat Feb 20 10:37:29 2021,1
26,Martin Stensen,"2,645", ,Sat Feb 20 10:37:29 2021,1
27,Arne Hong,"2,601", ,Sat Feb 20 10:37:29 2021,1
28,Yoni Navon,"2,485", ,Sat Feb 20 10:37:29 2021,1
29,Luigi Staino,"2,463", ,Sat Feb 20 10:37:29 2021,1
30,Melly Yannik,"2,400", ,Sat Feb 20 10:37:29 2021,1
31,Spine,"2,382", ,Sat Feb 20 10:37:29 2021,1
32,Allen Nash,"2,290", ,Sat Feb 20 10:37:29 2021,1
33,Macke karlsson,"2,280", ,Sat Feb 20 10:37:29 2021,1
34,Matej Pittermann,"2,267", ,Sat Feb 20 10:37:29 2021,1
35,Philippe Dupont,"2,221", ,Sat Feb 20 10:37:29 2021,1
36,Knut Pedersen,"2,194", ,Sat Feb 20 10:37:29 2021,1
37,Bas Vossen,"2,127", ,Sat Feb 20 10:37:29 2021,1
38,Norbert Jochymski,"2,110", ,Sat Feb 20 10:37:29 2021,1
39,Dave Dingle,"1,988", ,Sat Feb 20 10:37:29 2021,1
40,Bob Goossens 1,"1,959", ,Sat Feb 20 10:37:29 2021,1
41,eran abu,"1,930", ,Sat Feb 20 10:37:29 2021,1
42,Soglo,"1,620", ,Sat Feb 20 10:37:29 2021,1
43,William Olsen o,"1,615", ,Sat Feb 20 10:37:29 2021,1
44,Ozolins,"1,555", ,Sat Feb 20 10:37:29 2021,1
45,Selvig,"1,385", ,Sat Feb 20 10:37:29 2021,1
46,Phil Swift,"1,331", ,Sat Feb 20 10:37:29 2021,1
47,Fabien 1982,"1,210", ,Sat Feb 20 10:37:29 2021,1
48,Valdis Dzirnavnieks,"1,175", ,Sat Feb 20 10:37:29 2021,1
49,Lasse Bidtnes,640, ,Sat Feb 20 10:37:29 2021,1
50,Zero Tollerance,367, ,Sat Feb 20 10:37:29 2021,1
placement,name,points, ,date,season
1,Geoff Aitken,"6,657", ,Sat Feb 20 12:15:28 2021,1
2,Johan Blake Jr,"5,285", ,Sat Feb 20 12:15:28 2021,1
3,Bse90,"4,825", ,Sat Feb 20 12:15:28 2021,1
4,Kai svendsen,"4,635", ,Sat Feb 20 12:15:28 2021,1
5,Patrick Zaglauer,"4,628", ,Sat Feb 20 12:15:28 2021,1
6,Perry Ben,"4,555", ,Sat Feb 20 12:15:28 2021,1
7,Erik salve Salvesen,"4,165", ,Sat Feb 20 12:15:28 2021,1
8,Scott Andrew Rogers,"4,150", ,Sat Feb 20 12:15:28 2021,1
9,Thanasis Lamprinos,"4,115", ,Sat Feb 20 12:15:28 2021,1
10,Sigg Luggurd,"3,720", ,Sat Feb 20 12:15:28 2021,1
11,lleveller,"3,702", ,Sat Feb 20 12:15:28 2021,1
12,Hildy12,"3,615", ,Sat Feb 20 12:15:28 2021,1
13,Ivica Kiwi,"3,606", ,Sat Feb 20 12:15:28 2021,1
14,BunnyNorway,"3,540", ,Sat Feb 20 12:15:28 2021,1
15,Frankie Wilde,"3,365", ,Sat Feb 20 12:15:28 2021,1
16,Vladimir Kovacevic,"3,320", ,Sat Feb 20 12:15:28 2021,1
17,Tommy Ryan,"3,216", ,Sat Feb 20 12:15:28 2021,1
18,Jesse McDermott,"3,165", ,Sat Feb 20 12:15:28 2021,1
19,Raymond Haukas,"3,143", ,Sat Feb 20 12:15:28 2021,1
20,Martin Stensen,"3,130", ,Sat Feb 20 12:15:28 2021,1
