placement,name,points, ,date,season
21,Fabiano Angelo,"3,120", ,Sat Feb 20 12:15:28 2021,1
22,Alexboy,"3,080", ,Sat Feb 20 12:15:28 2021,1
23,Spine,"2,943", ,Sat Feb 20 12:15:28 2021,1
24,Anneli Madaj,"2,825", ,Sat Feb 20 12:15:28 2021,1
25,Gareth mckevitt,"2,795", ,Sat Feb 20 12:15:28 2021,1
26,DarkWin44,"2,720", ,Sat Feb 20 12:15:28 2021,1
27,Fernando Nits,"2,700", ,Sat Feb 20 12:15:28 2021,1
28,Arne Hong,"2,601", ,Sat Feb 20 12:15:28 2021,1
29,Bob Goossens 1,"2,501", ,Sat Feb 20 12:15:28 2021,1
30,Yoni Navon,"2,485", ,Sat Feb 20 12:15:28 2021,1
31,Luigi Staino,"2,463", ,Sat Feb 20 12:15:28 2021,1
32,Philippe Dupont,"2,431", ,Sat Feb 20 12:15:28 2021,1
33,Melly Yannik,"2,400", ,Sat Feb 20 12:15:28 2021,1
34,Allen Nash,"2,290", ,Sat Feb 20 12:15:28 2021,1
35,Macke karlsson,"2,280", ,Sat Feb 20 12:15:28 2021,1
36,Matej Pittermann,"2,267", ,Sat Feb 20 12:15:28 2021,1
37,Knut Pedersen,"2,194", ,Sat Feb 20 12:15:28 2021,1
38,Bas Vossen,"2,127", ,Sat Feb 20 12:15:28 2021,1
39,Norbert Jochymski,"2,110", ,Sat Feb 20 12:15:28 2021,1
40,Soglo,"1,995", ,Sat Feb 20 12:15:28 2021,1
41,Dave Dingle,"1,988", ,Sat Feb 20 12:15:28 2021,1
42,eran abu,"1,930", ,Sat Feb 20 12:15:28 2021,1
43,William Olsen o,"1,920", ,Sat Feb 20 12:15:28 2021,1
44,Ozolins,"1,555", ,Sat Feb 20 12:15:28 2021,1
45,Selvig,"1,385", ,Sat Feb 20 12:15:28 2021,1
46,Phil Swift,"1,331", ,Sat Feb 20 12:15:28 2021,1
47,Fabien 1982,"1,210", ,Sat Feb 20 12:15:28 2021,1
48,Valdis Dzirnavnieks,"1,175", ,Sat Feb 20 12:15:28 2021,1
49,Lasse Bidtnes,640, ,Sat Feb 20 12:15:28 2021,1
50,Zero Tollerance,367, ,Sat Feb 20 12:15:28 2021,1
placement,name,points, ,date,season
1,Geoff Aitken,"6,692", ,Sat Feb 20 12:16:34 2021,1
2,Johan Blake Jr,"5,285", ,Sat Feb 20 12:16:34 2021,1
3,Bse90,"4,825", ,Sat Feb 20 12:16:34 2021,1
4,Patrick Zaglauer,"4,668", ,Sat Feb 20 12:16:34 2021,1
5,Kai svendsen,"4,635", ,Sat Feb 20 12:16:34 2021,1
6,Perry Ben,"4,555", ,Sat Feb 20 12:16:34 2021,1
7,Erik salve Salvesen,"4,165", ,Sat Feb 20 12:16:34 2021,1
8,Scott Andrew Rogers,"4,150", ,Sat Feb 20 12:16:34 2021,1
9,Thanasis Lamprinos,"4,115", ,Sat Feb 20 12:16:34 2021,1
10,Sigg Luggurd,"3,720", ,Sat Feb 20 12:16:34 2021,1
11,lleveller,"3,702", ,Sat Feb 20 12:16:34 2021,1
12,Hildy12,"3,615", ,Sat Feb 20 12:16:34 2021,1
13,Ivica Kiwi,"3,606", ,Sat Feb 20 12:16:34 2021,1
14,BunnyNorway,"3,540", ,Sat Feb 20 12:16:34 2021,1
15,Frankie Wilde,"3,365", ,Sat Feb 20 12:16:34 2021,1
16,Vladimir Kovacevic,"3,320", ,Sat Feb 20 12:16:34 2021,1
17,Tommy Ryan,"3,216", ,Sat Feb 20 12:16:34 2021,1
18,Jesse McDermott,"3,165", ,Sat Feb 20 12:16:34 2021,1
19,Raymond Haukas,"3,143", ,Sat Feb 20 12:16:34 2021,1
20,Martin Stensen,"3,130", ,Sat Feb 20 12:16:34 2021,1
21,Fabiano Angelo,"3,120", ,Sat Feb 20 12:16:34 2021,1
22,Alexboy,"3,080", ,Sat Feb 20 12:16:34 2021,1
23,Spine,"2,943", ,Sat Feb 20 12:16:34 2021,1
24,Anneli Madaj,"2,825", ,Sat Feb 20 12:16:34 2021,1
25,Gareth mckevitt,"2,795", ,Sat Feb 20 12:16:34 2021,1
26,DarkWin44,"2,720", ,Sat Feb 20 12:16:34 2021,1
27,Fernando Nits,"2,700", ,Sat Feb 20 12:16:34 2021,1
28,Arne Hong,"2,601", ,Sat Feb 20 12:16:34 2021,1
29,Bob Goossens 1,"2,501", ,Sat Feb 20 12:16:34 2021,1
30,Yoni Navon,"2,485", ,Sat Feb 20 12:16:34 2021,1
31,Luigi Staino,"2,463", ,Sat Feb 20 12:16:34 2021,1
32,Philippe Dupont,"2,431", ,Sat Feb 20 12:16:34 2021,1
33,Melly Yannik,"2,400", ,Sat Feb 20 12:16:34 2021,1
34,Allen Nash,"2,290", ,Sat Feb 20 12:16:34 2021,1
35,Macke karlsson,"2,280", ,Sat Feb 20 12:16:34 2021,1
36,Matej Pittermann,"2,267", ,Sat Feb 20 12:16:34 2021,1
37,Knut Pedersen,"2,194", ,Sat Feb 20 12:16:34 2021,1
38,Bas Vossen,"2,127", ,Sat Feb 20 12:16:34 2021,1
39,Norbert Jochymski,"2,110", ,Sat Feb 20 12:16:34 2021,1
40,Soglo,"1,995", ,Sat Feb 20 12:16:34 2021,1
41,Dave Dingle,"1,988", ,Sat Feb 20 12:16:34 2021,1
42,eran abu,"1,930", ,Sat Feb 20 12:16:34 2021,1
43,William Olsen o,"1,920", ,Sat Feb 20 12:16:34 2021,1
44,Ozolins,"1,555", ,Sat Feb 20 12:16:34 2021,1
45,Selvig,"1,385", ,Sat Feb 20 12:16:34 2021,1
46,Phil Swift,"1,331", ,Sat Feb 20 12:16:34 2021,1
47,Fabien 1982,"1,210", ,Sat Feb 20 12:16:34 2021,1
48,Valdis Dzirnavnieks,"1,175", ,Sat Feb 20 12:16:34 2021,1
49,Lasse Bidtnes,640, ,Sat Feb 20 12:16:34 2021,1
50,Zero Tollerance,367, ,Sat Feb 20 12:16:34 2021,1
placement,name,points, ,date,season
1,Geoff Aitken,"6,707", ,Sat Feb 20 12:17:19 2021,1
2,Johan Blake Jr,"5,285", ,Sat Feb 20 12:17:19 2021,1
3,Bse90,"4,825", ,Sat Feb 20 12:17:19 2021,1
4,Patrick Zaglauer,"4,668", ,Sat Feb 20 12:17:19 2021,1
5,Kai svendsen,"4,635", ,Sat Feb 20 12:17:19 2021,1
6,Perry Ben,"4,555", ,Sat Feb 20 12:17:19 2021,1
7,Erik salve Salvesen,"4,165", ,Sat Feb 20 12:17:19 2021,1
8,Scott Andrew Rogers,"4,150", ,Sat Feb 20 12:17:19 2021,1
9,Thanasis Lamprinos,"4,115", ,Sat Feb 20 12:17:19 2021,1
10,Sigg Luggurd,"3,720", ,Sat Feb 20 12:17:19 2021,1
11,lleveller,"3,702", ,Sat Feb 20 12:17:19 2021,1
12,Hildy12,"3,615", ,Sat Feb 20 12:17:19 2021,1
13,Ivica Kiwi,"3,606", ,Sat Feb 20 12:17:19 2021,1
14,BunnyNorway,"3,540", ,Sat Feb 20 12:17:19 2021,1
15,Frankie Wilde,"3,365", ,Sat Feb 20 12:17:19 2021,1
16,Vladimir Kovacevic,"3,320", ,Sat Feb 20 12:17:19 2021,1
17,Tommy Ryan,"3,216", ,Sat Feb 20 12:17:19 2021,1
18,Jesse McDermott,"3,165", ,Sat Feb 20 12:17:19 2021,1
19,Raymond Haukas,"3,143", ,Sat Feb 20 12:17:19 2021,1
20,Martin Stensen,"3,130", ,Sat Feb 20 12:17:19 2021,1
21,Fabiano Angelo,"3,120", ,Sat Feb 20 12:17:19 2021,1
22,Alexboy,"3,080", ,Sat Feb 20 12:17:19 2021,1
23,Spine,"2,943", ,Sat Feb 20 12:17:19 2021,1
24,Anneli Madaj,"2,825", ,Sat Feb 20 12:17:19 2021,1
25,Gareth mckevitt,"2,795", ,Sat Feb 20 12:17:19 2021,1
26,DarkWin44,"2,720", ,Sat Feb 20 12:17:19 2021,1
27,Fernando Nits,"2,700", ,Sat Feb 20 12:17:19 2021,1
28,Arne Hong,"2,601", ,Sat Feb 20 12:17:19 2021,1
29,Bob Goossens 1,"2,501", ,Sat Feb 20 12:17:19 2021,1
30,Yoni Navon,"2,485", ,Sat Feb 20 12:17:19 2021,1
31,Luigi Staino,"2,463", ,Sat Feb 20 12:17:19 2021,1
32,Philippe Dupont,"2,431", ,Sat Feb 20 12:17:19 2021,1
33,Melly Yannik,"2,400", ,Sat Feb 20 12:17:19 2021,1
34,Allen Nash,"2,290", ,Sat Feb 20 12:17:19 2021,1
35,Macke karlsson,"2,280", ,Sat Feb 20 12:17:19 2021,1
36,Matej Pittermann,"2,267", ,Sat Feb 20 12:17:19 2021,1
37,Knut Pedersen,"2,194", ,Sat Feb 20 12:17:19 2021,1
38,Bas Vossen,"2,127", ,Sat Feb 20 12:17:19 2021,1
39,Norbert Jochymski,"2,110", ,Sat Feb 20 12:17:19 2021,1
40,Soglo,"1,995", ,Sat Feb 20 12:17:19 2021,1
41,Dave Dingle,"1,988", ,Sat Feb 20 12:17:19 2021,1
42,eran abu,"1,930", ,Sat Feb 20 12:17:19 2021,1
43,William Olsen o,"1,920", ,Sat Feb 20 12:17:19 2021,1
44,Ozolins,"1,555", ,Sat Feb 20 12:17:19 2021,1
45,Selvig,"1,385", ,Sat Feb 20 12:17:19 2021,1
46,Phil Swift,"1,331", ,Sat Feb 20 12:17:19 2021,1
47,Fabien 1982,"1,210", ,Sat Feb 20 12:17:19 2021,1
48,Valdis Dzirnavnieks,"1,175", ,Sat Feb 20 12:17:19 2021,1
49,Lasse Bidtnes,640, ,Sat Feb 20 12:17:19 2021,1
50,Zero Tollerance,367, ,Sat Feb 20 12:17:19 2021,1
placement,name,points, ,date,season
1,Geoff Aitken,"6,707", ,Sat Feb 20 12:38:13 2021,1
2,Johan Blake Jr,"5,285", ,Sat Feb 20 12:38:13 2021,1
3,Patrick Zaglauer,"5,238", ,Sat Feb 20 12:38:13 2021,1
4,Bse90,"4,825", ,Sat Feb 20 12:38:13 2021,1
5,Kai svendsen,"4,635", ,Sat Feb 20 12:38:13 2021,1
6,Perry Ben,"4,595", ,Sat Feb 20 12:38:13 2021,1
7,Erik salve Salvesen,"4,165", ,Sat Feb 20 12:38:13 2021,1
8,Scott Andrew Rogers,"4,150", ,Sat Feb 20 12:38:13 2021,1
9,Thanasis Lamprinos,"4,115", ,Sat Feb 20 12:38:13 2021,1
10,Sigg Luggurd,"3,720", ,Sat Feb 20 12:38:13 2021,1
11,lleveller,"3,702", ,Sat Feb 20 12:38:13 2021,1
12,Hildy12,"3,615", ,Sat Feb 20 12:38:13 2021,1
13,Ivica Kiwi,"3,606", ,Sat Feb 20 12:38:13 2021,1
14,BunnyNorway,"3,540", ,Sat Feb 20 12:38:13 2021,1
15,Frankie Wilde,"3,365", ,Sat Feb 20 12:38:13 2021,1
16,Alexboy,"3,360", ,Sat Feb 20 12:38:13 2021,1
17,Vladimir Kovacevic,"3,320", ,Sat Feb 20 12:38:13 2021,1
18,Tommy Ryan,"3,216", ,Sat Feb 20 12:38:13 2021,1
19,Jesse McDermott,"3,165", ,Sat Feb 20 12:38:13 2021,1
20,Raymond Haukas,"3,143", ,Sat Feb 20 12:38:13 2021,1
21,Martin Stensen,"3,130", ,Sat Feb 20 12:38:13 2021,1
22,Fabiano Angelo,"3,120", ,Sat Feb 20 12:38:13 2021,1
23,Spine,"2,943", ,Sat Feb 20 12:38:13 2021,1
24,Anneli Madaj,"2,825", ,Sat Feb 20 12:38:13 2021,1
25,Gareth mckevitt,"2,795", ,Sat Feb 20 12:38:13 2021,1
26,DarkWin44,"2,720", ,Sat Feb 20 12:38:13 2021,1
27,Fernando Nits,"2,700", ,Sat Feb 20 12:38:13 2021,1
28,Arne Hong,"2,601", ,Sat Feb 20 12:38:13 2021,1
29,Bob Goossens 1,"2,501", ,Sat Feb 20 12:38:13 2021,1
30,Yoni Navon,"2,485", ,Sat Feb 20 12:38:13 2021,1
31,Luigi Staino,"2,463", ,Sat Feb 20 12:38:13 2021,1
32,Philippe Dupont,"2,431", ,Sat Feb 20 12:38:13 2021,1
33,Melly Yannik,"2,400", ,Sat Feb 20 12:38:13 2021,1
34,Matej Pittermann,"2,357", ,Sat Feb 20 12:38:13 2021,1
35,Allen Nash,"2,290", ,Sat Feb 20 12:38:13 2021,1
36,Macke karlsson,"2,280", ,Sat Feb 20 12:38:13 2021,1
37,Knut Pedersen,"2,194", ,Sat Feb 20 12:38:13 2021,1
38,Bas Vossen,"2,127", ,Sat Feb 20 12:38:13 2021,1
39,Norbert Jochymski,"2,110", ,Sat Feb 20 12:38:13 2021,1
40,Soglo,"2,030", ,Sat Feb 20 12:38:13 2021,1
41,Dave Dingle,"1,988", ,Sat Feb 20 12:38:13 2021,1
42,eran abu,"1,930", ,Sat Feb 20 12:38:13 2021,1
43,William Olsen o,"1,920", ,Sat Feb 20 12:38:13 2021,1
44,Ozolins,"1,555", ,Sat Feb 20 12:38:13 2021,1
45,Selvig,"1,385", ,Sat Feb 20 12:38:13 2021,1
46,Phil Swift,"1,331", ,Sat Feb 20 12:38:13 2021,1
47,Fabien 1982,"1,210", ,Sat Feb 20 12:38:13 2021,1
48,Valdis Dzirnavnieks,"1,175", ,Sat Feb 20 12:38:13 2021,1
49,Lasse Bidtnes,640, ,Sat Feb 20 12:38:13 2021,1
50,Zero Tollerance,367, ,Sat Feb 20 12:38:13 2021,1
placement,name,points, ,date,season
1,Geoff Aitken,"6,707", ,Sat Feb 20 12:40:43 2021,1
2,Patrick Zaglauer,"5,298", ,Sat Feb 20 12:40:43 2021,1
3,Johan Blake Jr,"5,285", ,Sat Feb 20 12:40:43 2021,1
4,Bse90,"4,825", ,Sat Feb 20 12:40:43 2021,1
5,Kai svendsen,"4,635", ,Sat Feb 20 12:40:43 2021,1
6,Perry Ben,"4,595", ,Sat Feb 20 12:40:43 2021,1
7,Erik salve Salvesen,"4,165", ,Sat Feb 20 12:40:43 2021,1
8,Scott Andrew Rogers,"4,150", ,Sat Feb 20 12:40:43 2021,1
9,Thanasis Lamprinos,"4,115", ,Sat Feb 20 12:40:43 2021,1
10,Sigg Luggurd,"3,720", ,Sat Feb 20 12:40:43 2021,1
11,lleveller,"3,702", ,Sat Feb 20 12:40:43 2021,1
12,Hildy12,"3,615", ,Sat Feb 20 12:40:43 2021,1
13,Ivica Kiwi,"3,606", ,Sat Feb 20 12:40:43 2021,1
14,BunnyNorway,"3,540", ,Sat Feb 20 12:40:43 2021,1
15,Frankie Wilde,"3,365", ,Sat Feb 20 12:40:43 2021,1
16,Alexboy,"3,360", ,Sat Feb 20 12:40:43 2021,1
17,Vladimir Kovacevic,"3,320", ,Sat Feb 20 12:40:43 2021,1
18,Tommy Ryan,"3,216", ,Sat Feb 20 12:40:43 2021,1
19,Jesse McDermott,"3,165", ,Sat Feb 20 12:40:43 2021,1
20,Raymond Haukas,"3,143", ,Sat Feb 20 12:40:43 2021,1
21,Martin Stensen,"3,130", ,Sat Feb 20 12:40:43 2021,1
22,Fabiano Angelo,"3,120", ,Sat Feb 20 12:40:43 2021,1
23,Spine,"2,943", ,Sat Feb 20 12:40:43 2021,1
24,Anneli Madaj,"2,825", ,Sat Feb 20 12:40:43 2021,1
25,Gareth mckevitt,"2,795", ,Sat Feb 20 12:40:43 2021,1
26,DarkWin44,"2,720", ,Sat Feb 20 12:40:43 2021,1
27,Fernando Nits,"2,700", ,Sat Feb 20 12:40:43 2021,1
28,Arne Hong,"2,601", ,Sat Feb 20 12:40:43 2021,1
29,Bob Goossens 1,"2,501", ,Sat Feb 20 12:40:43 2021,1
30,Yoni Navon,"2,485", ,Sat Feb 20 12:40:43 2021,1
31,Philippe Dupont,"2,471", ,Sat Feb 20 12:40:43 2021,1
32,Luigi Staino,"2,463", ,Sat Feb 20 12:40:43 2021,1
33,Melly Yannik,"2,400", ,Sat Feb 20 12:40:43 2021,1
34,Matej Pittermann,"2,357", ,Sat Feb 20 12:40:43 2021,1
35,Allen Nash,"2,290", ,Sat Feb 20 12:40:43 2021,1
36,Macke karlsson,"2,280", ,Sat Feb 20 12:40:43 2021,1
37,Knut Pedersen,"2,194", ,Sat Feb 20 12:40:43 2021,1
38,Bas Vossen,"2,127", ,Sat Feb 20 12:40:43 2021,1
39,Norbert Jochymski,"2,110", ,Sat Feb 20 12:40:43 2021,1
40,Soglo,"2,030", ,Sat Feb 20 12:40:43 2021,1
41,Dave Dingle,"1,988", ,Sat Feb 20 12:40:43 2021,1
42,eran abu,"1,930", ,Sat Feb 20 12:40:43 2021,1
43,William Olsen o,"1,920", ,Sat Feb 20 12:40:43 2021,1
44,Ozolins,"1,555", ,Sat Feb 20 12:40:43 2021,1
45,Selvig,"1,385", ,Sat Feb 20 12:40:43 2021,1
46,Phil Swift,"1,331", ,Sat Feb 20 12:40:43 2021,1
47,Fabien 1982,"1,210", ,Sat Feb 20 12:40:43 2021,1
48,Valdis Dzirnavnieks,"1,175", ,Sat Feb 20 12:40:43 2021,1
49,Lasse Bidtnes,640, ,Sat Feb 20 12:40:43 2021,1
50,Zero Tollerance,367, ,Sat Feb 20 12:40:43 2021,1
placement,name,points, ,date,season
1,Geoff Aitken,"6,707", ,Sat Feb 20 12:41:35 2021,1
2,Patrick Zaglauer,"5,338", ,Sat Feb 20 12:41:35 2021,1
3,Johan Blake Jr,"5,285", ,Sat Feb 20 12:41:35 2021,1
4,Bse90,"4,825", ,Sat Feb 20 12:41:35 2021,1
5,Kai svendsen,"4,635", ,Sat Feb 20 12:41:35 2021,1
6,Perry Ben,"4,595", ,Sat Feb 20 12:41:35 2021,1
7,Erik salve Salvesen,"4,165", ,Sat Feb 20 12:41:35 2021,1
8,Scott Andrew Rogers,"4,150", ,Sat Feb 20 12:41:35 2021,1
9,Thanasis Lamprinos,"4,115", ,Sat Feb 20 12:41:35 2021,1
10,Sigg Luggurd,"3,720", ,Sat Feb 20 12:41:35 2021,1
11,lleveller,"3,702", ,Sat Feb 20 12:41:35 2021,1
12,Hildy12,"3,615", ,Sat Feb 20 12:41:35 2021,1
13,Ivica Kiwi,"3,606", ,Sat Feb 20 12:41:35 2021,1
14,BunnyNorway,"3,540", ,Sat Feb 20 12:41:35 2021,1
15,Frankie Wilde,"3,365", ,Sat Feb 20 12:41:35 2021,1
16,Alexboy,"3,360", ,Sat Feb 20 12:41:35 2021,1
17,Vladimir Kovacevic,"3,320", ,Sat Feb 20 12:41:35 2021,1
18,Tommy Ryan,"3,216", ,Sat Feb 20 12:41:35 2021,1
19,Jesse McDermott,"3,165", ,Sat Feb 20 12:41:35 2021,1
20,Raymond Haukas,"3,143", ,Sat Feb 20 12:41:35 2021,1
21,Martin Stensen,"3,130", ,Sat Feb 20 12:41:35 2021,1
22,Fabiano Angelo,"3,120", ,Sat Feb 20 12:41:35 2021,1
23,Spine,"2,943", ,Sat Feb 20 12:41:35 2021,1
24,Anneli Madaj,"2,825", ,Sat Feb 20 12:41:35 2021,1
25,Gareth mckevitt,"2,795", ,Sat Feb 20 12:41:35 2021,1
26,DarkWin44,"2,720", ,Sat Feb 20 12:41:35 2021,1
27,Fernando Nits,"2,700", ,Sat Feb 20 12:41:35 2021,1
28,Arne Hong,"2,601", ,Sat Feb 20 12:41:35 2021,1
29,Bob Goossens 1,"2,501", ,Sat Feb 20 12:41:35 2021,1
30,Yoni Navon,"2,485", ,Sat Feb 20 12:41:35 2021,1
31,Philippe Dupont,"2,471", ,Sat Feb 20 12:41:35 2021,1
32,Luigi Staino,"2,463", ,Sat Feb 20 12:41:35 2021,1
33,Melly Yannik,"2,400", ,Sat Feb 20 12:41:35 2021,1
34,Matej Pittermann,"2,357", ,Sat Feb 20 12:41:35 2021,1
35,Allen Nash,"2,290", ,Sat Feb 20 12:41:35 2021,1
36,Macke karlsson,"2,280", ,Sat Feb 20 12:41:35 2021,1
37,Knut Pedersen,"2,194", ,Sat Feb 20 12:41:35 2021,1
38,Bas Vossen,"2,127", ,Sat Feb 20 12:41:35 2021,1
39,Norbert Jochymski,"2,110", ,Sat Feb 20 12:41:35 2021,1
40,Soglo,"2,030", ,Sat Feb 20 12:41:35 2021,1
41,Dave Dingle,"1,988", ,Sat Feb 20 12:41:35 2021,1
42,eran abu,"1,930", ,Sat Feb 20 12:41:35 2021,1
43,William Olsen o,"1,920", ,Sat Feb 20 12:41:35 2021,1
44,Ozolins,"1,555", ,Sat Feb 20 12:41:35 2021,1
45,Selvig,"1,385", ,Sat Feb 20 12:41:35 2021,1
46,Phil Swift,"1,331", ,Sat Feb 20 12:41:35 2021,1
47,Fabien 1982,"1,210", ,Sat Feb 20 12:41:35 2021,1
48,Valdis Dzirnavnieks,"1,175", ,Sat Feb 20 12:41:35 2021,1
49,Lasse Bidtnes,640, ,Sat Feb 20 12:41:35 2021,1
50,Zero Tollerance,367, ,Sat Feb 20 12:41:35 2021,1
placement,name,points, ,date,season
1,Geoff Aitken,"6,707", ,Sat Feb 20 12:46:17 2021,1
2,Patrick Zaglauer,"5,338", ,Sat Feb 20 12:46:17 2021,1
3,Johan Blake Jr,"5,285", ,Sat Feb 20 12:46:17 2021,1
4,Bse90,"4,825", ,Sat Feb 20 12:46:17 2021,1
5,Perry Ben,"4,655", ,Sat Feb 20 12:46:17 2021,1
6,Kai svendsen,"4,635", ,Sat Feb 20 12:46:17 2021,1
7,Erik salve Salvesen,"4,165", ,Sat Feb 20 12:46:17 2021,1
8,Scott Andrew Rogers,"4,150", ,Sat Feb 20 12:46:17 2021,1
9,Thanasis Lamprinos,"4,115", ,Sat Feb 20 12:46:17 2021,1
10,Sigg Luggurd,"3,720", ,Sat Feb 20 12:46:17 2021,1
11,lleveller,"3,702", ,Sat Feb 20 12:46:17 2021,1
12,Hildy12,"3,615", ,Sat Feb 20 12:46:17 2021,1
13,Ivica Kiwi,"3,606", ,Sat Feb 20 12:46:17 2021,1
14,BunnyNorway,"3,540", ,Sat Feb 20 12:46:17 2021,1
15,Frankie Wilde,"3,365", ,Sat Feb 20 12:46:17 2021,1
16,Alexboy,"3,360", ,Sat Feb 20 12:46:17 2021,1
17,Vladimir Kovacevic,"3,320", ,Sat Feb 20 12:46:17 2021,1
18,Tommy Ryan,"3,216", ,Sat Feb 20 12:46:17 2021,1
19,Jesse McDermott,"3,165", ,Sat Feb 20 12:46:17 2021,1
20,Raymond Haukas,"3,143", ,Sat Feb 20 12:46:17 2021,1
21,Martin Stensen,"3,130", ,Sat Feb 20 12:46:17 2021,1
22,Fabiano Angelo,"3,120", ,Sat Feb 20 12:46:17 2021,1
23,Spine,"2,943", ,Sat Feb 20 12:46:17 2021,1
24,Anneli Madaj,"2,825", ,Sat Feb 20 12:46:17 2021,1
25,Gareth mckevitt,"2,795", ,Sat Feb 20 12:46:17 2021,1
26,DarkWin44,"2,720", ,Sat Feb 20 12:46:17 2021,1
27,Fernando Nits,"2,700", ,Sat Feb 20 12:46:17 2021,1
28,Arne Hong,"2,601", ,Sat Feb 20 12:46:17 2021,1
29,Philippe Dupont,"2,576", ,Sat Feb 20 12:46:17 2021,1
30,Bob Goossens 1,"2,501", ,Sat Feb 20 12:46:17 2021,1
31,Yoni Navon,"2,485", ,Sat Feb 20 12:46:17 2021,1
32,Luigi Staino,"2,463", ,Sat Feb 20 12:46:17 2021,1
33,Melly Yannik,"2,400", ,Sat Feb 20 12:46:17 2021,1
34,Matej Pittermann,"2,357", ,Sat Feb 20 12:46:17 2021,1
35,Allen Nash,"2,290", ,Sat Feb 20 12:46:17 2021,1
36,Macke karlsson,"2,280", ,Sat Feb 20 12:46:17 2021,1
37,Knut Pedersen,"2,194", ,Sat Feb 20 12:46:17 2021,1
38,Bas Vossen,"2,127", ,Sat Feb 20 12:46:17 2021,1
39,Norbert Jochymski,"2,110", ,Sat Feb 20 12:46:17 2021,1
40,Soglo,"2,030", ,Sat Feb 20 12:46:17 2021,1
41,Dave Dingle,"1,988", ,Sat Feb 20 12:46:17 2021,1
42,eran abu,"1,930", ,Sat Feb 20 12:46:17 2021,1
43,William Olsen o,"1,920", ,Sat Feb 20 12:46:17 2021,1
44,Ozolins,"1,555", ,Sat Feb 20 12:46:17 2021,1
45,Selvig,"1,385", ,Sat Feb 20 12:46:17 2021,1
46,Phil Swift,"1,331", ,Sat Feb 20 12:46:17 2021,1
47,Fabien 1982,"1,210", ,Sat Feb 20 12:46:17 2021,1
48,Valdis Dzirnavnieks,"1,175", ,Sat Feb 20 12:46:17 2021,1
49,Lasse Bidtnes,640, ,Sat Feb 20 12:46:17 2021,1
50,Zero Tollerance,367, ,Sat Feb 20 12:46:17 2021,1
placement,name,points, ,date,season
1,Geoff Aitken,"6,707", ,Sat Feb 20 12:47:05 2021,1
2,Patrick Zaglauer,"5,338", ,Sat Feb 20 12:47:05 2021,1
3,Johan Blake Jr,"5,285", ,Sat Feb 20 12:47:05 2021,1
4,Bse90,"4,825", ,Sat Feb 20 12:47:05 2021,1
5,Perry Ben,"4,655", ,Sat Feb 20 12:47:05 2021,1
6,Kai svendsen,"4,635", ,Sat Feb 20 12:47:05 2021,1
7,Erik salve Salvesen,"4,165", ,Sat Feb 20 12:47:05 2021,1
8,Scott Andrew Rogers,"4,150", ,Sat Feb 20 12:47:05 2021,1
9,Thanasis Lamprinos,"4,115", ,Sat Feb 20 12:47:05 2021,1
10,Sigg Luggurd,"3,720", ,Sat Feb 20 12:47:05 2021,1
11,lleveller,"3,702", ,Sat Feb 20 12:47:05 2021,1
12,Hildy12,"3,615", ,Sat Feb 20 12:47:05 2021,1
13,Ivica Kiwi,"3,606", ,Sat Feb 20 12:47:05 2021,1
14,BunnyNorway,"3,540", ,Sat Feb 20 12:47:05 2021,1
15,Frankie Wilde,"3,365", ,Sat Feb 20 12:47:05 2021,1
16,Alexboy,"3,360", ,Sat Feb 20 12:47:05 2021,1
17,Vladimir Kovacevic,"3,320", ,Sat Feb 20 12:47:05 2021,1
18,Tommy Ryan,"3,216", ,Sat Feb 20 12:47:05 2021,1
19,Jesse McDermott,"3,165", ,Sat Feb 20 12:47:05 2021,1
20,Raymond Haukas,"3,143", ,Sat Feb 20 12:47:05 2021,1
21,Martin Stensen,"3,130", ,Sat Feb 20 12:47:05 2021,1
22,Fabiano Angelo,"3,120", ,Sat Feb 20 12:47:05 2021,1
23,Spine,"2,943", ,Sat Feb 20 12:47:05 2021,1
24,Anneli Madaj,"2,825", ,Sat Feb 20 12:47:05 2021,1
25,Gareth mckevitt,"2,795", ,Sat Feb 20 12:47:05 2021,1
26,DarkWin44,"2,720", ,Sat Feb 20 12:47:05 2021,1
27,Fernando Nits,"2,700", ,Sat Feb 20 12:47:05 2021,1
28,Arne Hong,"2,601", ,Sat Feb 20 12:47:05 2021,1
29,Philippe Dupont,"2,576", ,Sat Feb 20 12:47:05 2021,1
30,Bob Goossens 1,"2,501", ,Sat Feb 20 12:47:05 2021,1
31,Yoni Navon,"2,485", ,Sat Feb 20 12:47:05 2021,1
32,Luigi Staino,"2,463", ,Sat Feb 20 12:47:05 2021,1
33,Melly Yannik,"2,400", ,Sat Feb 20 12:47:05 2021,1
34,Matej Pittermann,"2,357", ,Sat Feb 20 12:47:05 2021,1
35,Allen Nash,"2,290", ,Sat Feb 20 12:47:05 2021,1
36,Macke karlsson,"2,280", ,Sat Feb 20 12:47:05 2021,1
37,Knut Pedersen,"2,194", ,Sat Feb 20 12:47:05 2021,1
38,Bas Vossen,"2,127", ,Sat Feb 20 12:47:05 2021,1
39,Norbert Jochymski,"2,110", ,Sat Feb 20 12:47:05 2021,1
40,Soglo,"2,030", ,Sat Feb 20 12:47:05 2021,1
41,Dave Dingle,"1,988", ,Sat Feb 20 12:47:05 2021,1
42,eran abu,"1,930", ,Sat Feb 20 12:47:05 2021,1
43,William Olsen o,"1,920", ,Sat Feb 20 12:47:05 2021,1
